@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute xPos numeric
@attribute yPos numeric
@attribute istSpeed numeric
@attribute istVelX numeric
@attribute istVelY numeric
@attribute istAcc numeric
@attribute size numeric
@attribute elapsedTime numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
1,'2019/05/04 16:55:38:063',1,298,209,0,0,0,0,0,759,0,0
2,'2019/05/04 16:55:38:079',1,298,209,0,0,0,0,0,759,0,0
3,'2019/05/04 16:55:38:110',2,297,212,4,-1.264911,3.794733,0.571429,0,768,0,0
4,'2019/05/04 16:55:38:112',2,297,212,4,-1.264911,3.794733,0.571429,0,768,0,0
5,'2019/05/04 16:55:38:154',3,294,220,11,-3.862358,10.299622,0,0,861,0,0
6,'2019/05/04 16:55:38:161',3,294,220,11,-3.862358,10.299622,0,0,861,0,0
7,'2019/05/04 16:55:38:167',4,315,260,61,28.354868,54.00927,0.666667,0,865,0,0
8,'2019/05/04 16:55:38:169',4,315,260,61,28.354868,54.00927,0.666667,0,865,0,0
9,'2019/05/04 16:55:38:187',5,315,260,0,0,0,20.333334,0,895,0,0
10,'2019/05/04 16:55:38:194',5,315,260,0,0,0,20.333334,0,895,0,0
11,'2019/05/04 16:55:38:216',6,361,242,64,59.599541,-23.32156,4,0,922,0,0
12,'2019/05/04 16:55:38:220',6,361,242,64,59.599541,-23.32156,4,0,922,0,0
13,'2019/05/04 16:55:38:237',7,372,233,20,15.479146,-12.664756,3.384615,0,943,0,0
14,'2019/05/04 16:55:38:246',7,372,233,20,15.479146,-12.664756,3.384615,0,943,0,0
15,'2019/05/04 16:55:38:112',8,386,209,38,19.147099,-32.823601,0.857143,0,966,0,0
16,'2019/05/04 16:55:38:263',8,386,209,38,19.147099,-32.823601,0.857143,0,966,0,0
17,'2019/05/04 16:55:38:278',9,386,202,7,0,-7,2.818182,0,986,0,0
18,'2019/05/04 16:55:38:283',9,386,202,7,0,-7,2.818182,0,986,0,0
19,'2019/05/04 16:55:38:293',10,380,192,16,-8.231933,-13.719888,0.473684,0,999,0,0
20,'2019/05/04 16:55:38:295',10,380,192,16,-8.231933,-13.719888,0.473684,0,999,0,0
21,'2019/05/04 16:55:38:310',11,374,188,10,-8.320503,-5.547002,2,0,1016,0,0
22,'2019/05/04 16:55:38:311',11,374,188,10,-8.320503,-5.547002,2,0,1016,0,0
23,'2019/05/04 16:55:38:325',12,368,185,9,-8.049845,-4.024922,0.5,0,1032,0,0
24,'2019/05/04 16:55:38:327',12,368,185,9,-8.049845,-4.024922,0.5,0,1032,0,0
25,'2019/05/04 16:55:38:343',13,357,182,14,-13.506693,-3.683644,1.25,0,1049,0,0
26,'2019/05/04 16:55:38:345',13,357,182,14,-13.506693,-3.683644,1.25,0,1049,0,0
27,'2019/05/04 16:55:38:360',14,353,182,4,-4,0,2.5,0,1067,0,0
28,'2019/05/04 16:55:38:362',14,353,182,4,-4,0,2.5,0,1067,0,0
29,'2019/05/04 16:55:38:378',15,344,188,15,-12.480754,8.320502,2.75,0,1085,0,0
30,'2019/05/04 16:55:38:379',15,344,188,15,-12.480754,8.320502,2.75,0,1085,0,0
31,'2019/05/04 16:55:38:397',16,331,211,36,-17.714062,31.340263,5.25,0,1103,0,0
32,'2019/05/04 16:55:38:399',16,331,211,36,-17.714062,31.340263,5.25,0,1103,0,0
